Species,Sp_ID,Sp_ID_DNAcorrected
Aedes geniculatus,Aedes_geniculatus,Aedes_geniculatus
Anopheles plumbeus,Anopheles_plumbeus,Anopheles_plumbeus
Ceratopogonidae sp.,Cera6,Ceratopogonidae
Ceratopogonidae sp.,Cera_5,Ceratopogonidae
Orthocladiinae sp.,Chiro_sp3,Orthocladiinae
Orthocladiinae sp.,Chiro_sp6,Orthocladiinae
Orthocladiinae sp.,Chironomous_sp,Orthocladiinae
Psychodidae sp.,Clogmia_sp,Psychodidae_sp
Culex hortensis,Culex_hort,Culex_hort
Culex torrentium,Culex_torr,Culex_torr
Ceratopogonidae sp.,Dashylea_sp,Ceratopogonidae
Poecilobothrus nobilitatus,Doli_sp,P_nobilatus
Poecilobothrus nobilitatus,Doli_sp20,P_nobilatus
Syprhidae sp.,Fagi,Syprh
Lepiseodina sp.,Faniidae,Lepiseodina
Dasyhelea flavifrons,M_obscura,D_flaviformis
Mectrionemus cavicola,Met_cavicola,Met_cavicola
Myathropa florea,Myia_flor,Myia_flor
Phaonia sp.,New_Phaonia,Phaonia_sp
Prionocyphon serricornis,P_serricornis,P_serricornis
Phaonia sp.,Phaonia_subventa,Phaonia_sp
Psychodidae sp.,Psy6,Psychodidae_sp
Sylvicola sp.,Silvicola_sp,Silvicola_sp
Eupachygaster tarsalis,Stratio_sp,E_tarsalis
Odontomyia annulata,Stratio_sp3,O_annulata
Syprhidae sp.,Syprh,Syprh
Tabanidae sp.,Taba,Taba
Ctenophora sp.,Tipu,Ctenophora
Helina pertusa,Tipulidae_sp5,H_pertusa
