fid,id,class_0,class_1,class_2,plotID,area_km2
1,0,4,42,,SEW44,0.0132329944739155
2,0,4,43,,SEW44,0.0143107148562367
3,0,4,43,,SEW44,0.00804377143284399
4,0,4,43,,SEW44,0.02414619538882
5,0,4,43,,SEW44,0.147235365069472
6,0,4,43,,SEW44,0.0475535581126809
7,0,4,41,,SEW44,0.000590309668119997
8,0,4,41,,SEW44,0.00436943440149445
9,0,4,41,,SEW44,0.0143693382701129
10,0,4,41,,SEW44,0.000545961407870054
11,0,4,41,,SEW44,0.0403563484096304
12,0,4,41,,SEW44,0.0718319863416441
13,0,4,41,,SEW44,0.0519097452533022
14,0,4,41,,SEW44,0.0134405381076485
15,0,4,41,,SEW44,0.0123332248956934
16,0,4,41,,SEW44,0.0595259031941593
17,0,4,41,,SEW44,0.00586454165248014
18,0,4,42,,SEW44,0.0249921333472319
19,0,4,43,,SEW44,0.112458653502814
20,0,3,34,,SEW44,0.00503565777987987
21,0,4,43,,SEW44,0.0452840238737788
22,0,4,43,,SEW44,0.00416803882230818
23,,3,37,,SEW44,0.0038851788899675
24,0,3,35,,SEW44,0.0574317008009023
25,,4,42,,SEW44,0.000540691537946463
