Responce,Driver,Df,Statistic,p_value,sig,Slope,Slope_Std_error,R2_model,R2_partial
SR,Forest management intensity,1,3.05,0.081,.,-0.8212737387398882,0.48536648413018374,0.08,0.0676
SR,Tree species richness,1,0.25,0.616,,0.027670574133841528,0.054968189962206426,0.08,0.0105
SR,Non-natural tree species,1,0.22,0.636,,-0.2791542781376972,0.5974475970717255,0.13,0.0015
SR,Harvested tree biomass,1,3.27,0.071,.,3.1961876472793715,1.7272286416068057,0.13,0.0432
SR,Dead wood with saw cuts,1,4.25,0.039,*,-1.7701908663942114,0.8713590400145304,0.13,0.059
SR,"Forest cover, %",1,6.23,0.013,*,0.0423097410648727,0.01779856255786994,0.13,0.096
SR,Precipitation,1,2.46,0.117,,-0.39175472641762804,0.24855635148126545,0.13,0.0361
SR,Stand structural complexity,1,0.2,0.651,,-0.027908122880248992,0.06201377577750847,0.04,0.0031
SR,"Open areas, % ha⁻¹",2,2.17,0.338,,NA,NA,0.04,0.0276
SR,Landscape heterogeneity,1,0.02,0.902,,0.03141336015457972,0.25413708376871247,0,1e-4
Abundance,Forest management intensity,1,0.82,0.366,,-0.5528656583371426,0.6218274065250671,0.39,0.006
Abundance,Tree species richness,1,0.38,0.536,,-0.04592928876072311,0.07516241599722868,0.39,0.0041
Abundance,Non-natural tree species,1,0.09,0.763,,0.23359404375453494,0.7676712166091616,0.54,0.0061
Abundance,Harvested tree biomass,1,4.24,0.039,*,4.863722321187267,2.2845162235010807,0.54,0.0586
Abundance,Dead wood with saw cuts,1,5.01,0.025,*,-2.654332344527131,1.214045260493334,0.54,0.0703
Abundance,"Forest cover, %",1,10.55,0.001,**,0.08741552326380986,0.03063375187740315,0.54,0.2101
Abundance,Precipitation,1,0,0.991,,-0.0039875549085775855,0.33725407718703004,0.54,0
Abundance,Stand structural complexity,1,2.66,0.103,,-0.14133236874195865,0.08895675795053459,0.5,0.0667
Abundance,"Open areas, % ha⁻¹",2,7.96,0.019,*,NA,NA,0.5,0.1754
Abundance,Landscape heterogeneity,1,1.64,0.2,,0.5000462137863283,0.39709061289261915,0.11,0.0647
Biomass,Forest management intensity,1,0.02,0.899,,-0.040935522802042996,0.3206432155932451,0.16,3e-4
Biomass,Tree species richness,1,5.51,0.023,*,0.1504265548445481,0.064082611570295,0.16,0.0993
Biomass,Non-natural tree species,1,3.7,0.06,.,-1.2716229491067808,0.6606950656931294,0.14,0.069
Biomass,Harvested tree biomass,1,0.29,0.593,,-0.27162272549459665,2.3671732553416143,0.14,3e-4
Biomass,Dead wood with saw cuts,1,3.58,0.064,.,1.1643143356496068,1.1634589565470477,0.14,0.02
Biomass,"Forest cover, %",1,0.58,0.45,,0.015403790203960915,0.0202151326343412,0.14,0.0117
Biomass,Precipitation,1,0.1,0.748,,0.10587696727240309,0.3276633028392503,0.14,0.0021
Biomass,Stand structural complexity,1,1.55,0.218,,0.09491986614751335,0.07615458150952524,0.12,0.0301
Biomass,"Open areas, % ha⁻¹",2,0.76,0.475,,NA,NA,0.12,0.1055
Biomass,Landscape heterogeneity,1,0.51,0.478,,-0.2312163899450431,0.323314796376613,0.05,0.0097
